current_npc_index	current_npc_name	old_map	old_xy	original_identity	original_map	original_xy	hero_kill_map	hero_kill_xy	match_method	map_relation	confidence	walkable	overlap_with	apply_status	auto_placement_rule	auto_placement_basis	auto_placement_candidates	target_reason	topology_anchors	identity_source	warnings	non_position_fields_untouched	historical_audit
13	Mr. Kang	0	"{""x"": 402, ""y"": 356}"	02Weapon_Bichon1	0	"{""x"": 132, ""y"": 236}"	0	"{""x"": 374, ""y"": 304}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 374, ""y"": 304, ""score"": 0.35, ""anchor"": {""x"": 375, ""y"": 304}, ""separation"": 1}, {""x"": 375, ""y"": 305, ""score"": 0.35, ""anchor"": {""x"": 375, ""y"": 304}, ""separation"": 1}, {""x"": 396, ""y"": 363, ""score"": 0.35, ""anchor"": {""x"": 397, ""y"": 363}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 414, ""y"": 349}, {""x"": 450, ""y"": 413}, {""x"": 402, ""y"": 356}, {""x"": 470, ""y"": 424}, {""x"": 480, ""y"": 407}, {""x"": 397, ""y"": 363}, {""x"": 446, ""y"": 405}, {""x"": 441, ""y"": 374}, {""x"": 375, ""y"": 304}, {""x"": 478, ""y"": 407}, {""x"": 467, ""y"": 366}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""13"", ""name"": ""Mr. Kang"", ""method"": ""C-语义"", ""old"": ""0(132,236)"", ""new"": ""0(402,356)"", ""note"": ""武器店啊康 (02Weapon_Bichon1)"", ""source"": ""Mud3:02Weapon_Bichon1"", ""remark"": ""武器店啊康""}"
14	Isaac	0	"{""x"": 470, ""y"": 424}"	05Book_Bichon	0	"{""x"": 168, ""y"": 243}"	0	"{""x"": 375, ""y"": 305}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 375, ""y"": 305, ""score"": 0.35, ""anchor"": {""x"": 375, ""y"": 304}, ""separation"": 1}, {""x"": 396, ""y"": 363, ""score"": 0.35, ""anchor"": {""x"": 397, ""y"": 363}, ""separation"": 1}, {""x"": 397, ""y"": 364, ""score"": 0.35, ""anchor"": {""x"": 397, ""y"": 363}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 414, ""y"": 349}, {""x"": 450, ""y"": 413}, {""x"": 402, ""y"": 356}, {""x"": 470, ""y"": 424}, {""x"": 480, ""y"": 407}, {""x"": 397, ""y"": 363}, {""x"": 446, ""y"": 405}, {""x"": 441, ""y"": 374}, {""x"": 375, ""y"": 304}, {""x"": 478, ""y"": 407}, {""x"": 467, ""y"": 366}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""14"", ""name"": ""Isaac"", ""method"": ""C-语义"", ""old"": ""0(168,243)"", ""new"": ""0(470,424)"", ""note"": ""书店店员 (05Book_Bichon)"", ""source"": ""Mud3:05Book_Bichon"", ""remark"": ""书店店员""}"
15	David	0	"{""x"": 397, ""y"": 363}"	04Potion_Bichon1	0	"{""x"": 189, ""y"": 255}"	0	"{""x"": 396, ""y"": 363}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 396, ""y"": 363, ""score"": 0.35, ""anchor"": {""x"": 397, ""y"": 363}, ""separation"": 1}, {""x"": 397, ""y"": 364, ""score"": 0.35, ""anchor"": {""x"": 397, ""y"": 363}, ""separation"": 1}, {""x"": 398, ""y"": 363, ""score"": 0.35, ""anchor"": {""x"": 397, ""y"": 363}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 414, ""y"": 349}, {""x"": 450, ""y"": 413}, {""x"": 402, ""y"": 356}, {""x"": 470, ""y"": 424}, {""x"": 480, ""y"": 407}, {""x"": 397, ""y"": 363}, {""x"": 446, ""y"": 405}, {""x"": 441, ""y"": 374}, {""x"": 375, ""y"": 304}, {""x"": 478, ""y"": 407}, {""x"": 467, ""y"": 366}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""15"", ""name"": ""David"", ""method"": ""C-语义"", ""old"": ""0(189,255)"", ""new"": ""0(397,363)"", ""note"": ""药店老板 (04Potion_Bichon1)"", ""source"": ""Mud3:04Potion_Bichon1"", ""remark"": ""药店老板""}"
16	Lennard	0	"{""x"": 450, ""y"": 413}"	07Grocery_Bichon	0	"{""x"": 146, ""y"": 228}"	0	"{""x"": 397, ""y"": 364}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 397, ""y"": 364, ""score"": 0.35, ""anchor"": {""x"": 397, ""y"": 363}, ""separation"": 1}, {""x"": 398, ""y"": 363, ""score"": 0.35, ""anchor"": {""x"": 397, ""y"": 363}, ""separation"": 1}, {""x"": 413, ""y"": 349, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 414, ""y"": 349}, {""x"": 450, ""y"": 413}, {""x"": 402, ""y"": 356}, {""x"": 470, ""y"": 424}, {""x"": 480, ""y"": 407}, {""x"": 397, ""y"": 363}, {""x"": 446, ""y"": 405}, {""x"": 441, ""y"": 374}, {""x"": 375, ""y"": 304}, {""x"": 478, ""y"": 407}, {""x"": 467, ""y"": 366}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""16"", ""name"": ""Lennard"", ""method"": ""C-语义"", ""old"": ""0(146,228)"", ""new"": ""0(450,413)"", ""note"": ""杂货商 (07Grocery_Bichon)"", ""source"": ""Mud3:07Grocery_Bichon"", ""remark"": ""杂货商""}"
17	Amy	0	"{""x"": 414, ""y"": 349}"	08Accessory_Bichon	0	"{""x"": 142, ""y"": 223}"	0	"{""x"": 398, ""y"": 363}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 398, ""y"": 363, ""score"": 0.35, ""anchor"": {""x"": 397, ""y"": 363}, ""separation"": 1}, {""x"": 413, ""y"": 349, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}, {""x"": 414, ""y"": 348, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 414, ""y"": 349}, {""x"": 450, ""y"": 413}, {""x"": 402, ""y"": 356}, {""x"": 470, ""y"": 424}, {""x"": 480, ""y"": 407}, {""x"": 397, ""y"": 363}, {""x"": 446, ""y"": 405}, {""x"": 441, ""y"": 374}, {""x"": 375, ""y"": 304}, {""x"": 478, ""y"": 407}, {""x"": 467, ""y"": 366}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""17"", ""name"": ""Amy"", ""method"": ""C-语义"", ""old"": ""0(142,223)"", ""new"": ""0(414,349)"", ""note"": ""恩实首饰 (08Accessory_Bichon)"", ""source"": ""Mud3:08Accessory_Bichon"", ""remark"": ""恩实首饰""}"
18	Loy	0	"{""x"": 441, ""y"": 374}"	10ChestnutMarket_Bichon	0	"{""x"": 158, ""y"": 220}"	0	"{""x"": 413, ""y"": 349}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 413, ""y"": 349, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}, {""x"": 414, ""y"": 348, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}, {""x"": 414, ""y"": 350, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 414, ""y"": 349}, {""x"": 450, ""y"": 413}, {""x"": 402, ""y"": 356}, {""x"": 470, ""y"": 424}, {""x"": 480, ""y"": 407}, {""x"": 397, ""y"": 363}, {""x"": 446, ""y"": 405}, {""x"": 441, ""y"": 374}, {""x"": 375, ""y"": 304}, {""x"": 478, ""y"": 407}, {""x"": 467, ""y"": 366}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""18"", ""name"": ""Loy"", ""method"": ""C-语义"", ""old"": ""0(158,220)"", ""new"": ""0(441,374)"", ""note"": ""栗子收购 (10ChestnutMarket_Bichon)"", ""source"": ""Mud3:10ChestnutMarket_Bichon"", ""remark"": ""栗子收购""}"
19	Linda	0	"{""x"": 480, ""y"": 407}"	03Armor_Bichon	0	"{""x"": 178, ""y"": 250}"	0	"{""x"": 414, ""y"": 348}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 414, ""y"": 348, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}, {""x"": 414, ""y"": 350, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}, {""x"": 415, ""y"": 349, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 414, ""y"": 349}, {""x"": 450, ""y"": 413}, {""x"": 402, ""y"": 356}, {""x"": 470, ""y"": 424}, {""x"": 480, ""y"": 407}, {""x"": 397, ""y"": 363}, {""x"": 446, ""y"": 405}, {""x"": 441, ""y"": 374}, {""x"": 375, ""y"": 304}, {""x"": 478, ""y"": 407}, {""x"": 467, ""y"": 366}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""19"", ""name"": ""Linda"", ""method"": ""C-语义"", ""old"": ""0(178,250)"", ""new"": ""0(480,407)"", ""note"": ""怡美防具 (03Armor_Bichon)"", ""source"": ""Mud3:03Armor_Bichon"", ""remark"": ""怡美防具""}"
20	Murphy	0	"{""x"": 446, ""y"": 405}"	01Meet_Bichon1	0	"{""x"": 164, ""y"": 263}"	0	"{""x"": 414, ""y"": 350}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 414, ""y"": 350, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}, {""x"": 415, ""y"": 349, ""score"": 0.35, ""anchor"": {""x"": 414, ""y"": 349}, ""separation"": 1}, {""x"": 440, ""y"": 374, ""score"": 0.35, ""anchor"": {""x"": 441, ""y"": 374}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 414, ""y"": 349}, {""x"": 450, ""y"": 413}, {""x"": 402, ""y"": 356}, {""x"": 470, ""y"": 424}, {""x"": 480, ""y"": 407}, {""x"": 397, ""y"": 363}, {""x"": 446, ""y"": 405}, {""x"": 441, ""y"": 374}, {""x"": 375, ""y"": 304}, {""x"": 478, ""y"": 407}, {""x"": 467, ""y"": 366}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""20"", ""name"": ""Murphy"", ""method"": ""C-语义"", ""old"": ""0(164,263)"", ""new"": ""0(446,405)"", ""note"": ""金氏肉店 (01Meet_Bichon1)"", ""source"": ""Mud3:01Meet_Bichon1"", ""remark"": ""金氏肉店""}"
21	Hardy	1	"{""x"": 382, ""y"": 198}"	02Weapon_Wooma	1	"{""x"": 153, ""y"": 195}"	1	"{""x"": 362, ""y"": 176}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 362, ""y"": 176, ""score"": 0.35, ""anchor"": {""x"": 363, ""y"": 176}, ""separation"": 1}, {""x"": 363, ""y"": 175, ""score"": 0.35, ""anchor"": {""x"": 363, ""y"": 176}, ""separation"": 1}, {""x"": 363, ""y"": 177, ""score"": 0.35, ""anchor"": {""x"": 363, ""y"": 176}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 363, ""y"": 176}, {""x"": 382, ""y"": 141}, {""x"": 366, ""y"": 182}, {""x"": 394, ""y"": 116}, {""x"": 387, ""y"": 118}, {""x"": 393, ""y"": 113}, {""x"": 386, ""y"": 119}, {""x"": 382, ""y"": 198}, {""x"": 396, ""y"": 116}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""21"", ""name"": ""Hardy"", ""method"": ""C-语义"", ""old"": ""1(153,195)"", ""new"": ""1(382,198)"", ""note"": ""王铁匠 (02Weapon_Wooma)"", ""source"": ""Mud3:02Weapon_Wooma"", ""remark"": ""王铁匠""}"
22	Gresham	1	"{""x"": 386, ""y"": 119}"	10Material_DoGwan	1	"{""x"": 175, ""y"": 169}"	1	"{""x"": 363, ""y"": 175}"	semantic-audit	variant	low	"{""old"": ""pass"", ""target"": ""pass""}"	[]	pending-review	same-store-cluster	"[""NPC/Entry/Region contains shop type"", ""shop street or same-function region""]"	"[{""x"": 363, ""y"": 175, ""score"": 0.35, ""anchor"": {""x"": 363, ""y"": 176}, ""separation"": 1}, {""x"": 363, ""y"": 177, ""score"": 0.35, ""anchor"": {""x"": 363, ""y"": 176}, ""separation"": 1}, {""x"": 364, ""y"": 176, ""score"": 0.35, ""anchor"": {""x"": 363, ""y"": 176}, ""separation"": 1}]"	walkable topology candidate; manual review required	"[{""x"": 363, ""y"": 176}, {""x"": 382, ""y"": 141}, {""x"": 366, ""y"": 182}, {""x"": 394, ""y"": 116}, {""x"": 387, ""y"": 118}, {""x"": 393, ""y"": 113}, {""x"": 386, ""y"": 119}, {""x"": 382, ""y"": 198}, {""x"": 396, ""y"": 116}]"	NpcMover/audit-report.md	"[""map relation does not permit blind original-coordinate reuse""]"	True	"{""idx"": ""22"", ""name"": ""Gresham"", ""method"": ""C-语义"", ""old"": ""1(175,169)"", ""new"": ""1(386,119)"", ""note"": ""天星材料 (10Material_DoGwan)"", ""source"": ""Mud3:10Material_DoGwan"", ""remark"": ""天星材料""}"
