kind	status	review_class	index	name	old_map	old_x	old_y	target_map	target_x	target_y	monster_index	monster_name	hero_kill_map	hero_kill_x	hero_kill_y	hero_kill_range	hero_kill_count	hero_kill_interval	match_method	mapping_method	confidence	walkable	hero_kill_walkable	placement_rule	review_decision	approved_map	approved_x	approved_y	approved_count	approved_range	approved_interval	review_note	reason	source	candidates_json	warnings_json	range_note
npc	pending-review	variant	13	Mr. Kang	0	402	356	0	376	304									semantic-audit		low	"{""old"":""pass"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":376,""y"":304,""score"":0.35,""anchor"":{""x"":375,""y"":304},""separation"":1},{""x"":396,""y"":363,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1},{""x"":397,""y"":362,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	14	Isaac	0	470	424	0	396	363									semantic-audit		low	"{""old"":""pass"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":396,""y"":363,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1},{""x"":397,""y"":362,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1},{""x"":397,""y"":364,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	15	David	0	397	363	0	397	362									semantic-audit		low	"{""old"":""pass"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":397,""y"":362,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1},{""x"":397,""y"":364,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1},{""x"":398,""y"":363,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	16	Lennard	0	450	413	0	397	364									semantic-audit		low	"{""old"":""pass"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":397,""y"":364,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1},{""x"":398,""y"":363,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1},{""x"":402,""y"":355,""score"":0.35,""anchor"":{""x"":402,""y"":356},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	17	Amy	0	414	349	0	398	363									semantic-audit		low	"{""old"":""fail"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":398,""y"":363,""score"":0.35,""anchor"":{""x"":397,""y"":363},""separation"":1},{""x"":402,""y"":355,""score"":0.35,""anchor"":{""x"":402,""y"":356},""separation"":1},{""x"":402,""y"":357,""score"":0.35,""anchor"":{""x"":402,""y"":356},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	18	Loy	0	441	374	0	402	355									semantic-audit		low	"{""old"":""fail"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":402,""y"":355,""score"":0.35,""anchor"":{""x"":402,""y"":356},""separation"":1},{""x"":402,""y"":357,""score"":0.35,""anchor"":{""x"":402,""y"":356},""separation"":1},{""x"":403,""y"":356,""score"":0.35,""anchor"":{""x"":402,""y"":356},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	19	Linda	0	480	407	0	402	357									semantic-audit		low	"{""old"":""pass"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":402,""y"":357,""score"":0.35,""anchor"":{""x"":402,""y"":356},""separation"":1},{""x"":403,""y"":356,""score"":0.35,""anchor"":{""x"":402,""y"":356},""separation"":1},{""x"":413,""y"":349,""score"":0.35,""anchor"":{""x"":414,""y"":349},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	20	Murphy	0	446	405	0	403	356									semantic-audit		low	"{""old"":""pass"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":403,""y"":356,""score"":0.35,""anchor"":{""x"":402,""y"":356},""separation"":1},{""x"":413,""y"":349,""score"":0.35,""anchor"":{""x"":414,""y"":349},""separation"":1},{""x"":414,""y"":348,""score"":0.35,""anchor"":{""x"":414,""y"":349},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	21	Hardy	1	382	198	1	362	176									semantic-audit		low	"{""old"":""fail"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":362,""y"":176,""score"":0.35,""anchor"":{""x"":363,""y"":176},""separation"":1},{""x"":363,""y"":175,""score"":0.35,""anchor"":{""x"":363,""y"":176},""separation"":1},{""x"":364,""y"":176,""score"":0.35,""anchor"":{""x"":363,""y"":176},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	22	Gresham	1	386	119	1	363	175									semantic-audit		low	"{""old"":""fail"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":363,""y"":175,""score"":0.35,""anchor"":{""x"":363,""y"":176},""separation"":1},{""x"":364,""y"":176,""score"":0.35,""anchor"":{""x"":363,""y"":176},""separation"":1},{""x"":365,""y"":182,""score"":0.35,""anchor"":{""x"":366,""y"":182},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	23	Haylee	1	363	176	1	364	176									semantic-audit		low	"{""old"":""fail"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":364,""y"":176,""score"":0.35,""anchor"":{""x"":363,""y"":176},""separation"":1},{""x"":365,""y"":182,""score"":0.35,""anchor"":{""x"":366,""y"":182},""separation"":1},{""x"":366,""y"":183,""score"":0.35,""anchor"":{""x"":366,""y"":182},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	24	Cory	1	394	116	1	365	182									pending		low	"{""old"":""fail"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":365,""y"":182,""score"":0.35,""anchor"":{""x"":366,""y"":182},""separation"":1},{""x"":366,""y"":183,""score"":0.35,""anchor"":{""x"":366,""y"":182},""separation"":1},{""x"":367,""y"":182,""score"":0.35,""anchor"":{""x"":366,""y"":182},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	25	Flora	1	387	118	1	366	183									semantic-audit		low	"{""old"":""fail"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":366,""y"":183,""score"":0.35,""anchor"":{""x"":366,""y"":182},""separation"":1},{""x"":367,""y"":182,""score"":0.35,""anchor"":{""x"":366,""y"":182},""separation"":1},{""x"":381,""y"":141,""score"":0.35,""anchor"":{""x"":382,""y"":141},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	26	Max	1	382	141	1	367	182									semantic-audit		low	"{""old"":""pass"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":367,""y"":182,""score"":0.35,""anchor"":{""x"":366,""y"":182},""separation"":1},{""x"":381,""y"":141,""score"":0.35,""anchor"":{""x"":382,""y"":141},""separation"":1},{""x"":381,""y"":198,""score"":0.35,""anchor"":{""x"":382,""y"":198},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
npc	pending-review	variant	27	Melisa	1	393	113	1	381	141									semantic-audit		low	"{""old"":""pass"",""target"":""pass""}"		same-store-cluster	needs-evidence							保守复核：候选坐标来自自动安置，尚无独立原版身份/地标证据；暂不写入。	walkable topology candidate; manual review required	NpcMover/audit-report.md	"[{""x"":381,""y"":141,""score"":0.35,""anchor"":{""x"":382,""y"":141},""separation"":1},{""x"":381,""y"":198,""score"":0.35,""anchor"":{""x"":382,""y"":198},""separation"":1},{""x"":382,""y"":140,""score"":0.35,""anchor"":{""x"":382,""y"":141},""separation"":1}]"	"[""map relation does not permit blind original-coordinate reuse""]"	not-applicable
