kind	record_id	direction	direction_before_audit	status	previous_status	web_search_status	confidence	review_required	zircon_index	zircon_name	mir2ei_name	alias_chain	external_sources	search_queries
monster	website:mob-0	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	8	Chicken	鸡	Chicken > mir2ei 百科 Chicken→鸡 > ZH候选=鸡(local-candidate:db_names,mir2ei-wiki-json) > mir2ei 百科 Chicken→鸡 > ZH候选=鸡(local-candidate:db_names,mir2ei-wiki-json) > 鸡 > EN=Chicken(local-candidate:db_names,mir2ei-wiki-json)	https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-0.html;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-1	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	9	Pig	猪	Pig > Wemade=Pig > mir2ei 百科 Pig→猪 > ZH候选=猪(local-candidate:db_names,mir2ei-wiki-json) > mir2ei 百科 Pig→猪 > ZH候选=猪(local-candidate:db_names,mir2ei-wiki-json) > 猪 > EN=Pig(local-candidate:db_names,mir2ei-wiki-json)	https://www.lomcn.net/wiki/index.php/Monster_Database;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-1.html	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-2	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	11	Cow	牛	Cow > mir2ei 百科 Cow→牛 > ZH候选=牛(local-candidate:db_names,mir2ei-wiki-json) > mir2ei 百科 Cow→牛 > ZH候选=牛(local-candidate:db_names,mir2ei-wiki-json) > 牛 > EN=Cow(local-candidate:db_names,mir2ei-wiki-json)	https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-2.html;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-3	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	12	Sheep	羊	Sheep > Wemade=Sheep > mir2ei 百科 Sheep→羊 > ZH候选=羊(local-candidate:db_names,mir2ei-wiki-json) > mir2ei 百科 Sheep→羊 > ZH候选=羊(local-candidate:db_names,mir2ei-wiki-json) > 羊 > EN=Sheep(local-candidate:db_names,mir2ei-wiki-json)	https://www.lomcn.net/wiki/index.php/Monster_Database;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-3.html	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-4	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	10	Deer	鹿	Deer > Wemade=Deer > mir2ei 百科 Deer→鹿 > ZH候选=鹿(local-candidate:db_names,mir2ei-wiki-json) > mir2ei 百科 Deer→鹿 > ZH候选=鹿(local-candidate:db_names,mir2ei-wiki-json) > 鹿 > EN=Deer(local-candidate:db_names,mir2ei-wiki-json)	https://www.lomcn.net/wiki/index.php/Monster_Database;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-4.html	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-5	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	21	Scarecrow	稻草人	Scarecrow > Wemade=Scarecrow > mir2ei 百科 Scarecrow→稻草人 > ZH候选=稻草人(local-candidate:db_names,mir2ei-wiki-json) > mir2ei 百科 Scarecrow→稻草人 > ZH候选=稻草人(local-candidate:db_names,mir2ei-wiki-json) > 稻草人 > EN=Scarecrow(local-candidate:db_names,mir2ei-wiki-json)	https://www.lomcn.net/wiki/index.php/Monster_Database;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-5.html	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-6	mir2ei-only	mir2ei-only	pending-web-evidence	pending-web-evidence	family-search-no-result	low	True			蛤蟆	蛤蟆	https://mir3.iamcheyan.com/mobs/mob-6.html	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-7	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	13	Claw Cat	多钩猫	Claw Cat > mir2ei 百科 Claw Cat→多钩猫 > ZH候选=多钩猫(mir2ei-wiki-json) > ZH候选=爪猫(local-candidate:db_names) > mir2ei 百科 Claw Cat→多钩猫 > 多钩猫 > EN=Claw Cat(mir2ei-wiki-json)	https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-7.html;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-8	mir2ei-only	mir2ei-only	pending-web-evidence	pending-web-evidence	family-search-no-result	low	True			钉耙猫	钉耙猫	https://mir3.iamcheyan.com/mobs/mob-8.html	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-9	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	14	Wolf	狼	Wolf > Wemade=Wolf > mir2ei 百科 Wolf→狼 > ZH候选=狼(local-candidate:db_names,mir2ei-wiki-json) > mir2ei 百科 Wolf→狼 > ZH候选=狼(local-candidate:db_names,mir2ei-wiki-json) > 狼 > EN=Wolf(local-candidate:db_names,mir2ei-wiki-json)	https://www.lomcn.net/wiki/index.php/Monster_Database;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-9.html	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-10	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	20	Spitting Spider	毒蜘蛛	Spitting Spider > Wemade=SpittingSpider > mir2ei 百科 Spitting Spider→吐丝蜘蛛 > ZH候选=吐丝蜘蛛(mir2ei-wiki-json) > ZH候选=喷毒蜘蛛(local-candidate:db_names) > mir2ei 百科 Spitting Spider→吐丝蜘蛛 > 毒蜘蛛 > EN=Venom Spider(local-candidate:db_names,mir2ei-wiki-json)	https://www.lomcn.net/wiki/index.php/Monster_Database;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-10.html	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-11	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	17	Carnivorous Plant	食人花	Carnivorous Plant > mir2ei 百科 Carnivorous Plant→食人花 > ZH候选=食人花(local-candidate:db_names,mir2ei-wiki-json) > mir2ei 百科 Carnivorous Plant→食人花 > 食人花 > EN=Carnivorous Plant(local-candidate:db_names,mir2ei-wiki-json)	https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-11.html;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
monster	website:mob-12	both	both	both-resolved-by-web-alias	both-resolved-by-web-alias	family-rule-search	high	False	22	Oma	半兽人	Oma > Wemade=Oma > mir2ei 百科 Oma→沃玛勇士 > ZH候选=沃玛勇士(mir2ei-wiki-json) > ZH候选=祖玛(local-candidate:db_names) > mir2ei 百科 Oma→沃玛勇士 > ZH候选=沃玛勇士(mir2ei-wiki-json) > ZH候选=祖玛(local-candidate:db_names)	https://www.lomcn.net/wiki/index.php/Monster_Database;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir2ei.iamcheyan.com/data/wiki_data_v2.json;https://mir3.iamcheyan.com/mobs/mob-12.html	Legend of Mir 3 monster names list Wooma Zuma Banya Numa Chiwoo;site:lomcn.net Mir3 Zircon monster list;传奇3 Zircon 汉化 怪物名称 对照 MonsterInfo 中文;传奇3 冰宫 冰原 怪物 名称 列表;传奇3 怪物 名称 中英文对照 Zuma Oma Claw Cat 英文名;传奇3 怪物 白野猪 祖玛弓箭手 潘夜 英文名 WhiteBoar ZumaArcher Banya
